CD86	CD86
CD274	CD274
TNFRSF14	TNFRSF14
PVR	PVR
NECTIN2	NECTIN2
CD47	CD47
CD48	CD48
CD40	CD40
CD40LG	CD40LG
CD52	CD52
CD3D	CD3D
CD8A	CD8A
NCAM1	NCAM1
CD19	CD19
CD33	CD33
ITGAX	ITGAX
HLA-A	HLA-A
PTPRC.1	PTPRC.1
IL3RA	IL3RA
CD7	CD7
ITGA6	ITGA6
CCR4	CCR4
CD4	CD4
CD44	CD44
CD14	CD14
FCGR3A	FCGR3A
IL2RA	IL2RA
PTPRC.2	PTPRC.2
PDCD1	PDCD1
TIGIT	TIGIT
IgG1_mouse	IgG1_mouse
IgG2a_mouse	IgG2a_mouse
IgG2b_mouse	IgG2b_mouse
IgG2b_rat	IgG2b_rat
MS4A1	MS4A1
NCR1	NCR1
PECAM1	PECAM1
PDPN	PDPN
MCAM	MCAM
IGHM	IGHM
CD5	CD5
CXCR3	CXCR3
CCR5	CCR5
FCGR2A	FCGR2A
CCR6	CCR6
CXCR5	CXCR5
ITGAE	ITGAE
CD69	CD69
SELL	SELL
KLRB1	KLRB1
CTLA4	CTLA4
LAG3	LAG3
KLRG1	KLRG1
CD27	CD27
LAMP1	LAMP1
FAS	FAS
TNFRSF4	TNFRSF4
HLA-DRA.1	HLA-DRA.1
CD1C	CD1C
ITGAM	ITGAM
FCGR1A	FCGR1A
THBD	THBD
KLRK1	KLRK1
CR1	CR1
B3GAT1	B3GAT1
BTLA	BTLA
ICOS	ICOS
ICOSLG	ICOSLG
CD58	CD58
ENTPD1	ENTPD1
CX3CR1	CX3CR1
CD24	CD24
CR2	CR2
ITGAL	ITGAL
CD79B	CD79B
CD244	CD244
SIGLEC1	SIGLEC1
ITGB7	ITGB7
TNFRSF13C	TNFRSF13C
GP1BB	GP1BB
ICAM1	ICAM1
SELP	SELP
IFNGR1	IFNGR1
TCRab	TCRab
IgG1_k_rat	IgG1_k_rat
IgG1_l_rat	IgG1_l_rat
IgG2a_k_rat	IgG2a_k_rat
IgG2c_k_rat	IgG2c_k_rat
IgG2c_k_hamster	IgG2c_k_hamster
CCR2	CCR2
IL2RB	IL2RB
TNFRSF13B	TNFRSF13B
FCER1A	FCER1A
ITGA2B	ITGA2B
TNFRSF9	TNFRSF9
SPN	SPN
CD163	CD163
CD83	CD83
ANPEP	ANPEP
CD2	CD2
CD226	CD226
ITGB1	ITGB1
CLEC4C	CLEC4C
ITGA2	ITGA2
ITGB3	ITGB3
CD81	CD81
CD55	CD55
IGHD	IGHD
ITGB2	ITGB2
CD28	CD28
CD38	CD38
IL7R	IL7R
PTPRC	PTPRC
CD22	CD22
TFRC	TFRC
DPP4	DPP4
CSF1R	CSF1R
CD63	CD63
NRP1	NRP1
CD36	CD36
SIRPA	SIRPA
CD72	CD72
KIR2DL1	KIR2DL1
CD93	CD93
CD200	CD200
ITGA1	ITGA1
ITGA4	ITGA4
NT5E	NT5E
CD9	CD9
TCRVa7.2	TCRVa7.2
TCRVd2	TCRVd2
TREM1	TREM1
LAIR1	LAIR1
OLR1	OLR1
KIR3DL1	KIR3DL1
CD109	CD109
F3	F3
SLAMF7	SLAMF7
CD99	CD99
CLEC12A	CLEC12A
CD151	CD151
SLAMF6	SLAMF6
CLEC1B	CLEC1B
KLRD1	KLRD1
IGHE	IGHE
SLAMF1	SLAMF1
SELPLG	SELPLG
CD84	CD84
IGKC	IGKC
LILRB1	LILRB1
FCER2	FCER2
Ig_light_l	Ig_light_l
SIGLEC7	SIGLEC7
ADGRG1	ADGRG1
CD82	CD82
KLRF1	KLRF1
CSF2RB	CSF2RB
CD74	CD74
CSF2RA	CSF2RA
CD37	CD37
CD101	CD101
HLA-DRA.2	HLA-DRA.2
C5AR1	C5AR1
